"","discretized.vsNoDiscretization","discretized.vsTrueLabel","noDiscretizeVsTrueLabel","discretized.vsNoDiscretization.1","discretized.vsTrueLabel.1","noDiscretizeVsTrueLabel.1","discretized.vsNoDiscretization.2","discretized.vsTrueLabel.2","noDiscretizeVsTrueLabel.2"
"3","-0.0252","0.765",0.0610685147607532,"0.144","-0.014708",0.0610685147607532," 0.016494","0.596",0.00767734345379311
"4"," 0.0668","0.538",0.0610685147607532,"0.162","-0.000279",0.0610685147607532,"-0.001166","0.474",0.00767734345379311
"5"," 0.0426","0.690",0.0610685147607532,"0.196"," 0.003547",0.0610685147607532," 0.000508","0.506",0.00767734345379311
