"","discretized.vsNoDiscretization","discretized.vsTrueLabel","noDiscretizeVsTrueLabel","discretized.vsNoDiscretization.1","discretized.vsTrueLabel.1","noDiscretizeVsTrueLabel.1","discretized.vsNoDiscretization.2","discretized.vsTrueLabel.2","noDiscretizeVsTrueLabel.2"
"3","0.2558","0.332",0.168738719183117,"0.0957","0.134",0.189632384800353,"-0.00147","0.0300",0.189632384800353
"4","0.0977","0.220",0.168738719183117,"0.1449","0.244",0.189632384800353," 0.05690","0.0651",0.189632384800353
"5","0.1206","0.195",0.168738719183117,"0.0790","0.148",0.189632384800353," 0.01798","0.0128",0.189632384800353
