"","discretized.3","discretized.4","discretized.5","noDiscretizeVsTrueLabel","discretized.3.1","discretized.4.1","discretized.5.1","noDiscretizeVsTrueLabel.1","discretized.3.2","discretized.4.2","discretized.5.2","noDiscretizeVsTrueLabel.2"
"eVsNoDiscretize",0.349405157568368,0.246291911802793,0.785100296602526,0.273842228337153,0.701794555131747,0.749933202080633,0.898262001490229,0.273842228337153,0.798436180886405,0.751286866337299,0.712228985193486,0.364248879668779
"hvsNoDiscretize",0.837569421144484,0.603890818018931,0.706501083145106,0.273842228337153,0.881545245471417,0.754881149726494,0.75985412400795,0.273842228337153,0.769227768966389,0.529561164472973,0.615537634183555,0.364248879668779
"evsTrueLabel",0.315385448470379,0.273233321650557,0.346132789282482,0.273842228337153,0.352381468802996,0.337418276789627,0.299192585223397,0.273842228337153,0.379098280055041,0.362093122912699,0.343592792446792,0.364248879668779
"hvsTrueLabel",0.311479857625564,0.369117929700912,0.362325656338685,0.273842228337153,0.303444827597428,0.347194924116361,0.337065300371356,0.273842228337153,0.351665583951736,0.317115207493977,0.333954748207374,0.364248879668779
