"","discretized.3","discretized.4","discretized.5","noDiscretizeVsTrueLabel","discretized.3.1","discretized.4.1","discretized.5.1","noDiscretizeVsTrueLabel.1","discretized.3.2","discretized.4.2","discretized.5.2","noDiscretizeVsTrueLabel.2"
"eVsNoDiscretize",0.658238880316514,0.752366145500408,0.847577093006286,0.492940576353838,0.862055895689951,0.660871418990216,0.911924377108621,0.492940576353838,0.607385562160072,0.466814354748105,0.61010721033896,0.264856503953448
"hvsNoDiscretize",0.751034733187893,0.705901774116354,0.860399028092127,0.492940576353838,0.858602940244328,0.666639842938485,0.630483734839189,0.492940576353838,0.651371562327404,0.504656923965616,0.61010721033896,0.264856503953448
"evsTrueLabel",0.336762438941063,0.436976561481219,0.464141304202206,0.492940576353838,0.464121530770262,0.303372110589626,0.49913265149817,0.492940576353838,0.167482197545244,0.590232216825425,0.510258391353081,0.264856503953448
"hvsTrueLabel",0.431240709980231,0.420723871168353,0.51130884531125,0.492940576353838,0.530560486480574,0.509183519169061,0.336762438941063,0.492940576353838,0.475326518383131,0.517803003996004,0.510258391353081,0.264856503953448
