"","discretized.3","discretized.4","discretized.5","noDiscretizeVsTrueLabel","discretized.3.1","discretized.4.1","discretized.5.1","noDiscretizeVsTrueLabel.1","discretized.3.2","discretized.4.2","discretized.5.2","noDiscretizeVsTrueLabel.2"
"eVsNoDiscretize",1,0.942029617484432,1,0.63002223869533,0.416830206452626,0.379294704615036,0.379294704615036,0.63002223869533,0.416830206452626,1,1,0.63002223869533
"hvsNoDiscretize",1,1,0.416830206452626,0.63002223869533,1,0.942027342302074,1,0.63002223869533,1,1,0.885765740623651,0.63002223869533
"evsTrueLabel",0.63002223869533,0.677729451885534,0.63002223869533,0.63002223869533,0.630186721991701,0.584255235084947,0.584255235084947,0.63002223869533,0.630186721991701,0.63002223869533,0.63002223869533,0.63002223869533
"hvsTrueLabel",0.63002223869533,0.63002223869533,0.630186721991701,0.63002223869533,0.63002223869533,0.677801111797406,0.63002223869533,0.63002223869533,0.63002223869533,0.63002223869533,0.727158144477671,0.63002223869533
