"","discretized.3","discretized.4","discretized.5","noDiscretizeVsTrueLabel","discretized.3.1","discretized.4.1","discretized.5.1","noDiscretizeVsTrueLabel.1","discretized.3.2","discretized.4.2","discretized.5.2","noDiscretizeVsTrueLabel.2"
"eVsNoDiscretize",0.329611154610117,0.221764634556849,0.452630478155353,0.187577865235589,0.828538445498419,0.41923035981473,0.769948604455454,0.187577865235589,0.504341580787062,0.510838096046022,0.581756546120182,0.173556346842857
"hvsNoDiscretize",0.322149407485484,0.424087300849584,0.280875309240478,0.187577865235589,0.624158233759857,0.383322957423648,0.564254141111715,0.187577865235589,0.450197450256247,0.338603590891659,0.573083721485768,0.173556346842857
"evsTrueLabel",0.136979939234418,0.108739812755036,0.152292690732617,0.187577865235589,0.200121848817409,0.135678879627107,0.16010890751612,0.187577865235589,0.159234307764966,0.163425671235165,0.155607854181418,0.173556346842857
"hvsTrueLabel",0.13168386280309,0.165805100447254,0.117880156868556,0.187577865235589,0.183276341422232,0.153225389830117,0.145540685122669,0.187577865235589,0.11879676427371,0.150336867286856,0.162141289735546,0.173556346842857
