"","discretized.3","discretized.4","discretized.5","noDiscretizeVsTrueLabel","discretized.3.1","discretized.4.1","discretized.5.1","noDiscretizeVsTrueLabel.1","discretized.3.2","discretized.4.2","discretized.5.2","noDiscretizeVsTrueLabel.2"
"eVsNoDiscretize",0.56849408628967,0.604834251796526,0.543892391661841,0.71914711415732,0.425487616305704,0.595217079415946,0.466081972173409,0.71914711415732,0.363869491240894,0.575593092835234,0.273797102835478,0.471365647013658
"hvsNoDiscretize",0.499809364034313,0.487631599680403,0.60668336800514,0.71914711415732,0.667187886459341,0.745091245428167,0.677174644030676,0.71914711415732,0.614234739405491,0.312825163440719,0.372860874930584,0.471365647013658
"evsTrueLabel",0.647921027333778,0.633929471425783,0.49979969742354,0.71914711415732,0.51564404294673,0.557290582795174,0.468423965300149,0.71914711415732,0.713326266493425,0.706164898013102,0.572854052621362,0.471365647013658
"hvsTrueLabel",0.534875249508282,0.585519341004639,0.591675144563947,0.71914711415732,0.648278627433245,0.72164195154648,0.738407081340571,0.71914711415732,0.690619853935817,0.66082296488182,0.699238684673668,0.471365647013658
