"","discretized.3","discretized.4","discretized.5","noDiscretizeVsTrueLabel","discretized.3.1","discretized.4.1","discretized.5.1","noDiscretizeVsTrueLabel.1","discretized.3.2","discretized.4.2","discretized.5.2","noDiscretizeVsTrueLabel.2"
"eVsNoDiscretize",0.348748122005401,0.522400404500119,0.522853264429176,0.370802043096158,0.451860916566414,0.563726657415095,0.554518846804359,0.370802043096158,0.500632195977465,0.602939135464981,0.585413386752513,0.404353561758578
"hvsNoDiscretize",0.310055608164828,0.251723853737572,0.3372497006514,0.370802043096158,0.497592202301051,0.460560365279293,0.391800107613107,0.370802043096158,0.474018013132845,0.360583266582096,0.525510558894052,0.404353561758578
"evsTrueLabel",0.255969503609146,0.281336449416408,0.342380255450541,0.370802043096158,0.490118863507559,0.252954351325123,0.259069315128959,0.370802043096158,0.461540632337519,0.380949482051037,0.49466926495448,0.404353561758578
"hvsTrueLabel",0.325710258135189,0.304733608221328,0.241764162181354,0.370802043096158,0.328376553566635,0.217509205881396,0.374651221716113,0.370802043096158,0.396470870206014,0.246071085353527,0.373791882680541,0.404353561758578
